<<<<<<< HEAD
NPA,Area-2020,Age_of_Residents-2021,Tree_Canopy-2012,Impervious_Surface-2023,Housing_Density-2023,Housing_Size-2023,Housing_Age-2023,New_Residential-2023,Residential_Renovation-2023,Commuters_Driving_Alone-2022,Vacant_Land-2023,Youth_Population-2022,Older_Adult_Population-2022,White_Population-2020,Black_Population-2020,Asian_Population-2020,All_Other_Races-2020,Hispanic_Latino-2020,Commercial_Construction-2023,Bachelors_Degree-2022,Early_Care_Proximity-2023,School_Age_Proximity-2023,Recycling_Participation-2022,Solid_Waste-2022,Solid_Waste_Diversion_Rate-2022,Electricity_Consumption-2013,Water_Consumption-2022,Low_Cost_Healthcare_Proximity-2022,Home_Ownership-2022,Single_Family_Housing-2023,Residential_Occupancy-2022,Nuisance_Violations-2022,Long_Commute -2022,Bicycle_Friendliness-2023,Street_Connectivity-2022,Transit_Proximity-2023,Household_Income-2021,Employment_Rate-2022,High_School_Diploma-2022,Rental_Costs-2021,Commercial_Space-2023,Commercial_Building_Age-2023,Adopt_a_Stream-2023,Transit_Ridership-2022,Grocery_Proximity-2023,Pharmacy_Proximity-2022,Population_Density-2020,Voter_Participation-2022,Residential_Tree_Canopy-2012,Library_Card_Prevalence-2018,311_Request_Rate-2022,Rental_Houses-2023,Births_to_Adolescents-2019,Low_Birthweight-2019,Prenatal_Care-2019,Age_of_Death-2019,Proficiency_Elementary_School-2023,Proficiency_Middle_School-2023,Proficiency_High_School-2023,Highschool_Graduation_Rate-2023,Student_Absenteeism-2023,Neighborhood_School_Attendance-2023,Housing_Violations-2023,Foreclosures-2023,Adopt_a_Street-2023,Board_Committee_Participation-2023,Neighborhood_Organizations-2021,Park_Proximity-2023,Job_Density-2019,Home_Sale_Price-2023,Natural_Gas_Consumption-2013,Fire_Call_Rate-2021,Fincancial_Services_Proximity-2023,Public_Health_Insurance -2017,Subsidized_Housing-2023,Residential_Demolitions-2023
372,1.598505079593304,0.3578227334369439,-1.167742279238348,-0.3378451316747571,0.0175751081617927,0.2250476441591229,-0.8421913818619056,-0.2943462234606009,0.1289049306748733,0.3130031132745117,-0.5516151243310633,-0.2896904375077476,0.2605228494615569,0.304309854812902,-0.0020091668426894,-0.1634321700327268,0.5497702633922174,-0.632464594461521,-0.4559615796544046,0.4628804880947257,-0.3588363077662329,-0.3953337961750017,-0.0223529055662644,-0.128987006415568,-0.2248547682026525,-0.1233447046230109,0.0177729428924561,-0.4258471873957589,0.8598149460517699,0.5151451025072433,0.3595212894340438,-0.1203351431566505,0.1921566783404961,0.3309757239697589,-0.1326209101163166,-2.176388165080019,0.2561593536558553,0.4413434967116387,0.6573184082597852,1.2824203469734337,-0.4604126695193977,-0.9251419708634784,-0.5009807500769038,,-0.4524619671952277,-0.1823576306463775,0.2863592122899175,0.6055779464239924,-1.2077888881967738,-0.0811295562685638,0.3013289623208323,-0.4694243797796962,-0.5625304430780657,0.0485079548440833,0.541999166882339,0.9780471610017798,0.7375694934280735,0.3989369435623484,0.1728062736326017,0.2677281717041013,-0.7868415872019457,0.0280332076299271,-0.6498099772941697,-0.3084262268356577,-0.3018793418612289,0.7770903446558132,2.099556283005916,-0.7869594031346432,-0.3250440919183394,-0.2774661043508845,0.4904930475278946,-0.5387006394234024,-0.627075547577013,-0.8590049974667676,-0.3354890707546434,-0.4620631114710853
373,0.1629700066181059,0.8984481483923141,1.0735750001507351,0.1921588858471507,-0.5419838268390896,1.0941341919498857,0.5762921315090377,-0.171906474522357,0.8961399986047252,0.1745550838052143,-0.7699986081731427,1.1401251583669094,0.9154624443817182,1.3317781182590565,-1.141422112354817,-0.3316558309170458,0.8343669258860643,-0.7930132588753482,-0.2617733494884369,1.6946960888874167,0.7817044077574197,0.2755283402948691,1.0748293629866257,1.3463018794624897,1.9814346110594865,0.1297078109853841,0.5502367890591064,-0.9052554675252048,1.4433611920620268,0.8625541577780154,0.9660990786427176,-0.0974579000033331,0.2299054251170993,-0.0623883952530856,-0.0628992684544185,-0.2673495502017342,1.262148626854248,0.9131275505493098,0.9019821621717656,-1.1694427114538233,-0.3019649425967692,-0.4172434711203594,-0.3728898521115779,-0.3916522848257641,-0.632611584534469,-0.913839436112847,-0.6118563579224207,1.3544311241592375,1.346639336531206,-0.2146509492294603,0.9536349620440452,-0.842089029111521,-0.6925686924724348,0.1406336633387514,1.7819191961149583,0.9780471610017798,1.0274231214758272,1.461128801481688,1.2676795650919293,-0.4477041671332277,-1.1657654215852915,0.3744574756583774,-0.4807057195387922,-0.3084262268356577,0.210656528330902,-0.1091100394148974,1.129119317209884,-0.7328808729595805,-0.2583894437561803,1.3981331109815047,1.2192493986360622,-0.1414079550375659,-0.4570100635488348,-1.0192578429093786,-0.3354890707546434,1.7163706087038046
374,-0.4101553560261883,1.574229917086527,-0.1313365657519794,-0.4399679780834075,0.0642050194118662,-1.2118933883975804,1.22643040847072,-0.0739546753717619,0.693048362976235,0.8684126787631637,0.265133821282937,-0.9801560115150352,1.9123625585382544,-1.4419900433470707,2.186746308317484,-0.6232435097831988,-0.719377015296559,-0.3049772690402815,-0.188952763176199,-1.402962885895309,1.0096604578519954,0.9385927012993116,-0.9605232511404754,-1.6042758922936258,-1.0803547315900128,-0.4708915140345408,-1.0684533032875103,-0.3624239910068003,-0.4143142749702763,0.8394324760303876,-0.4034472894821347,0.1691747586052744,-0.0673203373554868,1.117703962415449,0.8190334921383362,0.7457812860750413,-1.4233587175472968,0.1089391567048886,-0.9235559589383524,-1.0477557381211082,-0.6400096833369194,1.4692366707826536,0.6102769308424983,-0.1735842198604268,0.3818967435832028,0.8617311810529034,0.2863592122899175,-0.748751595013508,-0.1742052134513483,0.3874091499396733,2.011396298821815,1.7083760393774174,0.6435743200547077,2.848781848898996,-1.2467880516160152,-0.0611853662621815,-1.2682176126623816,-1.275077424518531,-0.975247737582444,0.5181294902971642,1.423074636212369,-0.558130537672353,4.024884974450207,3.608193156255331,1.388588541545377,0.5911689081657241,1.129119317209884,1.0539365653251185,-0.3975800325653949,-0.7326770037333822,0.5815875914164155,1.6532313223093638,1.0739114565017824,2.3460519113854534,0.4926159649203829,0.8934067588599572
375,0.3403533034285196,1.3039172096088418,0.7191487000076248,-0.4666293073487759,-0.7285034718393839,2.547739125865409,-0.0147426657288553,-0.2796534535880116,0.7607455748523982,0.9843801902030204,-0.9083981496745954,0.6204283138326719,1.509306702678988,1.6739074033182384,-1.228830348439665,-0.5349260878189313,-1.7270030365585574,-1.0134681413540363,-0.3103204070299288,1.499734347624208,-0.6578657193636757,-0.9056764659226636,0.876064459263276,0.6086574365234608,0.5180794105284757,1.6512261010358606,2.7013907275723734,0.195853832660166,1.2654821634796027,1.1814920746754909,0.9660990786427176,-0.0679039348373846,0.4070162664742798,0.3309757239697589,-0.6082663043575475,-1.0774077573469276,2.9743341853270633,0.3346480754021769,0.6854994272464568,-0.0872053741543582,-0.4561089138615416,-0.4172434711203594,-0.8143787854886136,-0.4501188783032944,-1.317374594030877,0.2067745792925829,-0.6118563579224207,1.6303529995811057,0.947971347700828,-0.0240795065489079,0.3098813107434555,-1.26499038854698,-0.6925686924724348,1.666791626703254,1.0931596730948654,2.2770878200817313,1.491188926352233,1.968733948968142,2.150641896913968,1.038193767375068,-1.7284682998623115,1.125427972047809,-0.6996797462859594,-0.3084262268356577,-0.0862333938031756,2.504222218900415,0.1586823514138519,-1.6575330622985391,-0.3720944317975105,2.718074385634268,2.039100293632751,-0.5502047373551135,,-1.1795106883519897,-0.3354890707546434,1.1838645882166092
376,0.5519851076540524,0.8984481483923141,0.253818253709934,-1.110186688897763,-0.5419838268390896,-0.4838090828737557,-0.546673983242959,0.1709248225047257,-0.232146865997998,0.5528481636967931,0.5295661148088429,-1.0816706214010474,0.0387685796863971,-0.1933982209258239,0.4851697327571221,-0.4606273042616903,0.8651341326421559,-0.269033538201365,-0.4559615796544046,-0.3129488488436948,-1.5541492580154228,-1.274080088576404,0.1207578251145471,-0.128987006415568,-1.1141244669868824,-0.1569782668241267,-0.386899580194198,-0.7967296230310061,0.2989855857632691,1.1712036767071428,0.6244882033482215,-0.0952169090644156,1.7083193812660713,-1.2424807529216213,-0.9224868226833364,-0.0486667812228886,0.052534368212556,0.3035328915116905,-0.1006718385090857,1.318667530519349,-0.4358007538097478,0.5259965998311471,-1.3005942426140649,-0.3085650253833635,-1.006313344244488,-0.5538301781916114,-0.6118563579224207,0.1425023538266608,-0.0191676622395349,-0.0428938846479434,0.866400705309738,0.1759428337302133,0.0291435916663137,1.414749594029162,0.0084207572618895,0.0687186996458136,-0.7430710394935105,-0.1490451123693727,-0.562852098441565,-0.3801633519283046,0.3227573500082841,-0.8528787601128917,-0.3780213651823949,-0.3084262268356577,-0.5879077865773243,0.1642336011308533,-0.8117546143821801,-1.2361389106411524,-0.4191447716766817,-0.5238930433458205,-0.329357847468794,-0.1333818402014885,-1.3210268918253387,-0.2179936156963234,0.1609424559553994,-0.4620631114710853
377,0.4615158709045557,-0.1828026815184263,-0.8138780083586112,-0.8320883681294754,-0.2155744480885749,0.4852608730699265,-1.0786053007570628,-0.2796534535880116,-0.1644496541218346,0.5533597655824546,-0.1098933861795711,-0.1357214080158937,-0.6660457222460464,-0.8351607324789425,1.2407850934296896,-0.1858619914839694,0.2728654025873939,-0.3009835211692907,-0.5045086371958964,0.2337495298998852,-0.9748922061228508,-1.4914490663790725,-0.8730666935022015,-0.8666314493545969,0.2141517919566505,-0.1633846596243392,0.1242657121257862,-0.9052554675252048,0.843327229101659,0.7103048439294221,0.2065170478963582,-0.0925476122239346,1.1312158233087646,-0.0623883952530856,-0.4844106199382678,,0.1444925217218307,-0.7395021957282434,0.4317838473429328,1.2047478108036156,-0.682514885980755,-0.9976988993982095,-0.9630151783747384,,,-0.913839436112847,-0.0130459777808618,0.0220376429633637,-1.5178639906204017,-0.1406072676784177,0.2999262870160974,0.0859625636726542,-0.6925686924724348,-0.2070105196599962,0.2438679637992795,-0.5808016298941622,-0.458690818938503,-0.3641360031970971,-0.0968985840875848,0.5654080609406108,0.0734638580447178,-1.7669158061474095,-0.4678006019245454,-0.3084262268356577,-0.6038275656938502,0.1548670877307196,2.099556283005916,-1.6738008081049516,-0.434828218303072,-0.3574417646791083,0.3083039597508527,-0.6037121695956302,,-0.2981200384176289,-0.3354890707546434,-0.4620631114710853
378,0.2409326630255184,-0.3179590352572689,0.5983919821104468,0.1454433469603377,0.3906143981623808,-0.0761844188656989,1.462844327365877,-0.211087194182595,17.549654120140918,-0.085404042872263,-0.7031916900714327,-1.302701143468178,-0.2152294515817334,1.395882342196461,-1.075755011133713,-0.5601596369515791,0.3190162127215309,-0.8704919675725684,0.0052354669897687,1.4548310195616116,0.9080948425741624,0.4018986739127548,-0.1336612516513407,0.6086574365234608,-0.0109797773558126,-0.352373247230609,-0.42949668788753,-0.71295272094345,-0.1171275015064911,0.2090681088760515,-0.0169850842337242,-0.0409245641422007,-0.7809432530836571,1.90443220086114,0.8208647253475028,0.6045587740474576,0.6119974259308748,0.1897950991544201,0.5335633287173861,0.0940305435752173,-0.3426693449739328,1.5417935993173848,1.0182688144227017,0.1542256178915958,0.801571808318799,1.3506249925844953,0.2863592122899175,1.398612617190641,1.110391639446537,0.1130833789472857,0.627482061117636,-0.3265162716017461,-0.6925686924724348,-0.0853350556104344,0.9135165122627662,0.4584308973697991,1.1868426169020916,1.6406329403111342,1.8759425047915552,0.4263534414010628,-1.442995538010868,-2.0213102580744473,-0.4969861815810169,-0.3084262268356577,0.9907653026050232,3.1658627970404924,2.099556283005916,0.9909281975575044,-0.1348823015733561,0.9825597887790152,0.0350203280852898,-0.3506220150979863,0.2299214640116035,-1.0192578429093786,-0.3354890707546434,0.79658748240774
379,0.4556145654700716,0.8984481483923141,-0.3509953091990315,-0.3354011511085075,-0.5419838268390896,2.031158183741991,-0.6648809426905377,-0.2992438134181306,0.3545623035954179,0.9479693930779244,-0.9913322257704984,0.7883088679815132,0.0497607602751881,1.194206132056311,-1.1529582247314976,0.3875003193634176,-0.3347869308454143,-0.7570695280364318,-0.4559615796544046,1.4825546542550798,-0.2596647576059336,-1.1830610533292474,1.750630035646015,0.6086574365234608,0.653158352115954,0.9913676426139696,3.2125560198923577,0.6648820818949303,1.521900568135597,1.1722829386285447,0.619404708180151,-0.1264689317477351,0.6848994775819818,-0.4557525144759311,-0.9785548249034212,-2.2081368544744873,2.7890067557482694,0.1760156414068768,0.8336765459538513,5.577711597164373,-0.6818515549982846,-1.142812756467672,-0.5118165300094124,,-0.91275441638506,0.7870648891776728,-0.3124511678516413,0.9664961390239162,-0.3809219484004337,-0.2717009989491162,0.1018842929442346,-1.270943794460804,-0.6925686924724348,-1.0552623261769405,0.967027241021264,0.7182390291857895,1.713812615672244,1.5887812900922842,1.6561829910936263,0.8557150736635235,-1.6799042181105284,1.4607842745082535,-0.6996797462859594,-0.3084262268356577,-0.4818864753342454,-0.741248436344237,1.129119317209884,-1.5973600072577694,-0.3054397836353514,1.5047132506075556,2.5856675569638763,-0.7436341049045814,-0.5097462199024902,-1.1795106883519897,-0.3354890707546434,-0.4620631114710853
380,1.5069105384815775,0.628135440914629,1.9097170132473773,-0.8378703496011181,-0.6818735605893103,1.883746748644738,-0.3693635440715911,-0.2943462234606009,0.2417336171351456,-0.26988147315572,-0.8084486323311432,0.5993918602792998,0.0714482693267097,,-1.1028205055559248,0.2052580200720721,0.334399816099577,-0.8553157256628037,-0.5045086371958964,1.1612548738851516,-0.2165196042902326,-0.5234612278647721,0.2400167673485569,-0.128987006415568,0.7206978229096931,0.9176941254115256,1.636463035239073,-0.8847153714472871,1.2328496258282216,1.3031047728708982,0.9660990786427176,-0.1275071905415384,0.7555523219001111,-0.8491166336987767,-0.8540841782925551,-2.3254170691254674,2.4179050411132708,0.4120908444909936,0.6778194882604808,1.1685006272577003,-0.7722228794765468,-0.1270157569814343,-0.3704992489968279,,-1.1448235652667915,-0.8487775220306959,-0.6118563579224207,1.2494808177303098,1.7526900658954805,-0.0004098050694761,0.5895505683544816,-1.1806628868752975,-0.6925686924724348,-0.5303196098488315,1.2192921051684675,1.3677593587257653,1.5782967705927622,1.7330966068610356,1.8384834967748631,0.774870082778661,-1.7564009089009942,1.5659115027639674,-0.5014735408982597,-0.3084262268356577,-0.3186179133840621,0.7001543857932842,0.1586823514138519,-1.1522223962121496,-0.3505296926862237,1.046438559332528,1.765816661967188,-0.7109945712378662,-1.2709536741671204,-1.099384265630684,-0.3354890707546434,-0.4620631114710853
381,-0.3110840833728561,-0.7234280964737966,0.0361907365086046,0.8471538497946042,1.6962519131644398,-0.0582386789408158,1.0491199692993525,0.3864187806360349,1.1217973715252698,-0.3567709420010702,-0.9447601768073218,-1.076720673239666,-0.3109538761995998,1.1650351088038968,-0.9297788199057184,-0.3905341122265575,-0.2732525173332311,-0.6564270816874654,0.3693383985509581,1.1958660198103326,1.0332059840255674,0.7500260471562074,-0.8412643089064656,-0.8666314493545969,0.7432109798409389,-0.570190602437835,-0.450795241734196,1.0700538455709796,-0.675028845317232,-0.9614255295196638,0.1738925603580174,-0.1162389155905279,-1.5941943259021003,0.7243398431926044,0.4546458857828519,0.659777951602691,0.1558050209131251,0.4760437458358065,0.3466756204596824,0.5108731543532409,0.3464635608737981,0.1632119571574907,1.0182688144227017,7.773956297576264,1.3893124347158616,1.2090378747961952,1.1845747825022557,0.6971998753379031,0.3204384023196764,-0.2025126407784698,-0.1806295740143052,0.5909266482971647,-0.6925686924724348,-0.4555761105041008,0.7369311073597233,0.328526831461804,0.4870180522342525,0.4246163071603981,0.3847172332698907,-1.933602101641522,-1.0403289529867896,0.5652915867574022,-0.4534435989767851,-0.3084262268356577,1.0317251111847945,0.8246227545507886,-0.8117546143821801,0.0210066541803013,-0.1799722106242284,1.165428715216407,-0.8759251107999197,-0.2832026504749352,0.7969958291155591,-0.5384993065815455,0.2350308899085468,2.103647714512674
